===== No 20 Top 50 Capital Cities by Population Report =====
ID    City                           Country                                       Region                         Continent       Population  
204   Avarua                    Cook Islands                             Rarotonga            Polynesia                      Oceania         11900     
205   Garapan                   Northern Mariana Islands                 Saipan               Micronesia                     Oceania         9200      
206   Palikir                   Micronesia, Federated States of          Pohnpei              Micronesia                     Oceania         8600      
207   Funafuti                  Tuvalu                                   Funafuti             Polynesia                      Oceania         4600      
208   Fagatogo                  American Samoa                           Tutuila              Polynesia                      Oceania         2323      
209   Bairiki                   Kiribati                                 South Tarawa         Micronesia                     Oceania         2226      
210   Agaña                     Guam                                     –                    Micronesia                     Oceania         1139      
211   Mata-Utu                  Wallis and Futuna                        Wallis               Polynesia                      Oceania         1137      
212   Kingston                  Norfolk Island                           –                    Australia and New Zealand      Oceania         800       
213   Flying Fish Cove          Christmas Island                         –                    Australia and New Zealand      Oceania         700       
214   Alofi                     Niue                                     –                    Polynesia                      Oceania         682       
215   Yaren                     Nauru                                    –                    Micronesia                     Oceania         559       
216   Fakaofo                   Tokelau                                  Fakaofo              Polynesia                      Oceania         300       
217   West Island               Cocos (Keeling) Islands                  West Island          Australia and New Zealand      Oceania         167       
218   Adamstown                 Pitcairn                                 –                    Polynesia                      Oceania         42        
219   Lima                      Peru                                     Lima                 South America                  South America   6464693   
220   Santafé de Bogotá         Colombia                                 Santafé de Bogotá    South America                  South America   6260862   
221   Santiago de Chile         Chile                                    Santiago             South America                  South America   4703954   
222   Buenos Aires              Argentina                                Distrito Federal     South America                  South America   2982146   
223   Caracas                   Venezuela                                Distrito Federal     South America                  South America   1975294   
224   Brasília                  Brazil                                   Distrito Federal     South America                  South America   1969868   
225   Quito                     Ecuador                                  Pichincha            South America                  South America   1573458   
226   Montevideo                Uruguay                                  Montevideo           South America                  South America   1236000   
227   La Paz                    Bolivia                                  La Paz               South America                  South America   758141    
228   Asunción                  Paraguay                                 Asunción             South America                  South America   557776    
229   Georgetown                Guyana                                   Georgetown           South America                  South America   254000    
230   Paramaribo                Suriname                                 Paramaribo           South America                  South America   112000    
231   Cayenne                   French Guiana                            Cayenne              South America                  South America   50699     
232   Stanley                   Falkland Islands                         East Falkland        South America                  South America   1636      

===== No 19 Capital Cities by Region Population Report =====
ID    City                           Country                                       Region                         Continent       Population  
1     Canberra                       Australia                                     Australia and New Zealand      Oceania         322723      
2     Wellington                     New Zealand                                   Australia and New Zealand      Oceania         166700      
3     Kingston                       Norfolk Island                                Australia and New Zealand      Oceania         800         
4     Flying Fish Cove               Christmas Island                              Australia and New Zealand      Oceania         700         
5     West Island                    Cocos (Keeling) Islands                       Australia and New Zealand      Oceania         167         
6     Riga                           Latvia                                        Baltic Countries               Europe          764328      
7     Vilnius                        Lithuania                                     Baltic Countries               Europe          577969      
8     Tallinn                        Estonia                                       Baltic Countries               Europe          403981      
9     London                         United Kingdom                                British Islands                Europe          7285000     
10    Dublin                         Ireland                                       British Islands                Europe          481854      
11    La Habana                      Cuba                                          Caribbean                      North America   2256000     
12    Santo Domingo de Guzmán        Dominican Republic                            Caribbean                      North America   1609966     
13    Port-au-Prince                 Haiti                                         Caribbean                      North America   884472      
14    San Juan                       Puerto Rico                                   Caribbean                      North America   434374      
15    Nassau                         Bahamas                                       Caribbean                      North America   172000      
16    Kingston                       Jamaica                                       Caribbean                      North America   103962      
17    Fort-de-France                 Martinique                                    Caribbean                      North America   94050       
18    Port-of-Spain                  Trinidad and Tobago                           Caribbean                      North America   43396       
19    Oranjestad                     Aruba                                         Caribbean                      North America   29034       
20    Saint John´s                   Antigua and Barbuda                           Caribbean                      North America   24000       
21    George Town                    Cayman Islands                                Caribbean                      North America   19600       
22    Kingstown                      Saint Vincent and the Grenadines              Caribbean                      North America   17100       
23    Roseau                         Dominica                                      Caribbean                      North America   16243       
24    Charlotte Amalie               Virgin Islands, U.S.                          Caribbean                      North America   13000       
25    Basse-Terre                    Guadeloupe                                    Caribbean                      North America   12433       
26    Basseterre                     Saint Kitts and Nevis                         Caribbean                      North America   11600       
27    Road Town                      Virgin Islands, British                       Caribbean                      North America   8000        
28    Bridgetown                     Barbados                                      Caribbean                      North America   6070        
29    Cockburn Town                  Turks and Caicos Islands                      Caribbean                      North America   4800        
30    Saint George´s                 Grenada                                       Caribbean                      North America   4621        
31    Willemstad                     Netherlands Antilles                          Caribbean                      North America   2345        
32    Castries                       Saint Lucia                                   Caribbean                      North America   2301        
33    Plymouth                       Montserrat                                    Caribbean                      North America   2000        
34    The Valley                     Anguilla                                      Caribbean                      North America   595         
35    Kinshasa                       Congo, The Democratic Republic of the         Central Africa                 Africa          5064000     
36    Luanda                         Angola                                        Central Africa                 Africa          2022000     
37    Yaoundé                        Cameroon                                      Central Africa                 Africa          1372800     
38    Brazzaville                    Congo                                         Central Africa                 Africa          950000      
39    N´Djaména                      Chad                                          Central Africa                 Africa          530965      
40    Bangui                         Central African Republic                      Central Africa                 Africa          524000      
41    Libreville                     Gabon                                         Central Africa                 Africa          419000      
42    São Tomé                       Sao Tome and Principe                         Central Africa                 Africa          49541       
43    Malabo                         Equatorial Guinea                             Central Africa                 Africa          40000       
44    Ciudad de México               Mexico                                        Central America                North America   8591309     
45    Managua                        Nicaragua                                     Central America                North America   959000      
46    Ciudad de Guatemala            Guatemala                                     Central America                North America   823301      
47    Tegucigalpa                    Honduras                                      Central America                North America   813900      
48    Ciudad de Panamá               Panama                                        Central America                North America   471373      
49    San Salvador                   El Salvador                                   Central America                North America   415346      
50    San José                       Costa Rica                                    Central America                North America   339131      
51    Belmopan                       Belize                                        Central America                North America   7105        
